Дата,Год,Год-мес,точка,бренд,товар,Количество,Продажи,Себестоимость
2021-01-01,2021,202101,на Гоголя,Galosha,KA air-9558,95,1066185,570000.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA air-9558,59,667880,354000.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA air-9558,48,530688,288000.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA air-9558,89,1088826,534000.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA air-9558,113,1314416,678000.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA air-9558,107,1209421,642000.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA air-9558,113,1074630,678000.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA air-9558,95,986385,570000.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA air-9558,101,1091305,606000.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA air-9558,83,933501,498000.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA air-9558,59,645342,354000.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA air-9558,71,756292,426000.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA air-9558,104,1202968,624000.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA air-9558,65,769795,390000.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA air-9558,52,589160,312000.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA air-9558,98,1190602,588000.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA air-9558,124,1464068,744000.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA air-9558,117,1321866,702000.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA air-9558,124,1156796,744000.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA air-9558,104,1094600,624000.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA air-9558,111,1232100,666000.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA air-9558,91,996268,546000.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA air-9558,65,743080,390000.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA air-9558,78,803010,468000.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA grou-7567,87,1187463,615960.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA grou-7567,54,722304,382320.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA grou-7567,44,576092,311520.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA grou-7567,81,1167453,573480.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA grou-7567,103,1427992,729240.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA grou-7567,98,1297912,693840.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA grou-7567,103,1210353,729240.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA grou-7567,87,1091502,615960.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA grou-7567,92,1159476,651360.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA grou-7567,76,1035956,538080.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA grou-7567,54,737262,382320.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA grou-7567,65,824005,460200.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA grou-7567,96,1286496,679680.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA grou-7567,60,809040,424800.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA grou-7567,48,620928,339840.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA grou-7567,90,1236510,637200.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA grou-7567,113,1638274,800040.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA grou-7567,107,1460015,757560.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA grou-7567,113,1272267,800040.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA grou-7567,96,1219488,679680.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA grou-7567,101,1346027,715080.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA grou-7567,84,1103004,594720.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA grou-7567,60,813420,424800.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA grou-7567,72,869760,509760.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA gre-2749,87,2274354,913500.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA gre-2749,54,1439154,567000.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA gre-2749,44,1132208,462000.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA gre-2749,81,2126655,850500.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA gre-2749,103,2706428,1081500.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA gre-2749,98,2572696,1029000.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA gre-2749,103,2591995,1081500.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA gre-2749,87,2257824,913500.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA gre-2749,92,2358512,966000.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA gre-2749,76,1990136,798000.0
